curriculum_sequence,curriculum_entry,curriculum_level,alias,alias_type,source_print_page
245,barrier,high_school_selective_compulsory,barrier,primary,126
246,base,high_school_compulsory,base,primary,126
247,baseball,compulsory_education,baseball,primary,126
248,basic,compulsory_education,basic,primary,126
249,basin,high_school_selective_compulsory,basin,primary,126
250,basis,high_school_compulsory,basis,primary,126
251,basket,compulsory_education,basket,primary,126
252,basketball,compulsory_education,basketball,primary,126
253,bat,high_school_selective_compulsory,bat,primary,126
254,bath,high_school_selective_compulsory,bath,primary,126
255,bathroom,compulsory_education,bathroom,primary,126
256,battery,high_school_compulsory,battery,primary,126
257,battle,high_school_compulsory,battle,primary,126
258,bay,high_school_selective_compulsory,bay,primary,126
259,BC,high_school_selective_compulsory,BC,primary,126
260,"be (am, are, is)",compulsory_education,be,primary,126
260,"be (am, are, is)",compulsory_education,am,parenthetical_variant,126
260,"be (am, are, is)",compulsory_education,are,parenthetical_variant,126
260,"be (am, are, is)",compulsory_education,is,parenthetical_variant,126
261,beach,compulsory_education,beach,primary,126
262,bean,compulsory_education,bean,primary,126
263,bean curd (tofu),high_school_selective_compulsory,bean curd,primary,126
263,bean curd (tofu),high_school_selective_compulsory,tofu,parenthetical_variant,126
264,bear,compulsory_education,bear,primary,126
265,beard,high_school_selective_compulsory,beard,primary,126
266,beat,compulsory_education,beat,primary,126
267,beautiful,compulsory_education,beautiful,primary,126
268,beauty,high_school_selective_compulsory,beauty,primary,126
269,because,compulsory_education,because,primary,126
270,become,compulsory_education,become,primary,126
271,bed,compulsory_education,bed,primary,126
272,bedroom,compulsory_education,bedroom,primary,126
273,beef,compulsory_education,beef,primary,126
274,beer,high_school_compulsory,beer,primary,126
275,before,compulsory_education,before,primary,126
276,begin,compulsory_education,begin,primary,126
277,behalf,high_school_selective_compulsory,behalf,primary,126
278,behave,high_school_selective_compulsory,behave,primary,126
279,behaviour (behavior),high_school_compulsory,behaviour,primary,126
279,behaviour (behavior),high_school_compulsory,behavior,parenthetical_variant,126
280,behind,compulsory_education,behind,primary,126
281,being,high_school_selective_compulsory,being,primary,126
282,belief,high_school_selective_compulsory,belief,primary,126
