sequence,raw_entry,entry,headword,parenthetical_note,marker,curriculum_level,form_type,alphabetic_section,source_pdf_page,source_print_page,source_id
131,anxiety**,anxiety,anxiety,,**,high_school_selective_compulsory,word,A,132,124,moe-hs-english-2017-2020-appendix-2
132,anxious*,anxious,anxious,,*,high_school_compulsory,word,A,132,124,moe-hs-english-2017-2020-appendix-2
133,any,any,any,,,compulsory_education,word,A,132,124,moe-hs-english-2017-2020-appendix-2
134,anybody,anybody,anybody,,,compulsory_education,word,A,132,124,moe-hs-english-2017-2020-appendix-2
135,anyhow**,anyhow,anyhow,,**,high_school_selective_compulsory,word,A,132,124,moe-hs-english-2017-2020-appendix-2
136,anyone,anyone,anyone,,,compulsory_education,word,A,132,124,moe-hs-english-2017-2020-appendix-2
137,anything,anything,anything,,,compulsory_education,word,A,132,124,moe-hs-english-2017-2020-appendix-2
138,anyway,anyway,anyway,,,compulsory_education,word,A,132,124,moe-hs-english-2017-2020-appendix-2
139,anywhere,anywhere,anywhere,,,compulsory_education,word,A,132,124,moe-hs-english-2017-2020-appendix-2
140,apart**,apart,apart,,**,high_school_selective_compulsory,word,A,132,124,moe-hs-english-2017-2020-appendix-2
141,apartment*,apartment,apartment,,*,high_school_compulsory,word,A,132,124,moe-hs-english-2017-2020-appendix-2
142,apologise (apologize)*,apologise (apologize),apologise,apologize,*,high_school_compulsory,word,A,132,124,moe-hs-english-2017-2020-appendix-2
143,apparently**,apparently,apparently,,**,high_school_selective_compulsory,word,A,132,124,moe-hs-english-2017-2020-appendix-2
144,appeal**,appeal,appeal,,**,high_school_selective_compulsory,word,A,132,124,moe-hs-english-2017-2020-appendix-2
145,appear,appear,appear,,,compulsory_education,word,A,132,124,moe-hs-english-2017-2020-appendix-2
146,appetite**,appetite,appetite,,**,high_school_selective_compulsory,word,A,132,124,moe-hs-english-2017-2020-appendix-2
147,applaud**,applaud,applaud,,**,high_school_selective_compulsory,word,A,132,124,moe-hs-english-2017-2020-appendix-2
148,apple,apple,apple,,,compulsory_education,word,A,132,124,moe-hs-english-2017-2020-appendix-2
149,applicant**,applicant,applicant,,**,high_school_selective_compulsory,word,A,132,124,moe-hs-english-2017-2020-appendix-2
150,application*,application,application,,*,high_school_compulsory,word,A,132,124,moe-hs-english-2017-2020-appendix-2
151,apply*,apply,apply,,*,high_school_compulsory,word,A,132,124,moe-hs-english-2017-2020-appendix-2
152,appointment**,appointment,appointment,,**,high_school_selective_compulsory,word,A,132,124,moe-hs-english-2017-2020-appendix-2
153,appreciate**,appreciate,appreciate,,**,high_school_selective_compulsory,word,A,132,124,moe-hs-english-2017-2020-appendix-2
154,approach*,approach,approach,,*,high_school_compulsory,word,A,132,124,moe-hs-english-2017-2020-appendix-2
155,appropriate**,appropriate,appropriate,,**,high_school_selective_compulsory,word,A,132,124,moe-hs-english-2017-2020-appendix-2
156,approve**,approve,approve,,**,high_school_selective_compulsory,word,A,132,124,moe-hs-english-2017-2020-appendix-2
157,April,April,April,,,compulsory_education,word,A,132,124,moe-hs-english-2017-2020-appendix-2
158,arch**,arch,arch,,**,high_school_selective_compulsory,word,A,132,124,moe-hs-english-2017-2020-appendix-2
159,architect**,architect,architect,,**,high_school_selective_compulsory,word,A,132,124,moe-hs-english-2017-2020-appendix-2
160,area,area,area,,,compulsory_education,word,A,132,124,moe-hs-english-2017-2020-appendix-2
161,argue*,argue,argue,,*,high_school_compulsory,word,A,132,124,moe-hs-english-2017-2020-appendix-2
162,arise**,arise,arise,,**,high_school_selective_compulsory,word,A,132,124,moe-hs-english-2017-2020-appendix-2
163,arm,arm,arm,,,compulsory_education,word,A,132,124,moe-hs-english-2017-2020-appendix-2
164,army,army,army,,,compulsory_education,word,A,132,124,moe-hs-english-2017-2020-appendix-2
165,around,around,around,,,compulsory_education,word,A,132,124,moe-hs-english-2017-2020-appendix-2
166,arrangement*,arrangement,arrangement,,*,high_school_compulsory,word,A,132,124,moe-hs-english-2017-2020-appendix-2
167,arrest**,arrest,arrest,,**,high_school_selective_compulsory,word,A,132,124,moe-hs-english-2017-2020-appendix-2
168,arrive,arrive,arrive,,,compulsory_education,word,A,132,124,moe-hs-english-2017-2020-appendix-2
169,arrow**,arrow,arrow,,**,high_school_selective_compulsory,word,A,132,124,moe-hs-english-2017-2020-appendix-2
170,art,art,art,,,compulsory_education,word,A,132,124,moe-hs-english-2017-2020-appendix-2
171,article,article,article,,,compulsory_education,word,A,132,124,moe-hs-english-2017-2020-appendix-2
