sequence,raw_entry,entry,headword,parenthetical_note,marker,curriculum_level,form_type,alphabetic_section,source_pdf_page,source_print_page,source_id,coverage_status,provisional_legacy_words
910,elsewhere**,elsewhere,elsewhere,,**,high_school_selective_compulsory,word,E,146,138,moe-hs-english-2017-2020-appendix-2,not_covered,
911,email,email,email,,,compulsory_education,word,E,146,138,moe-hs-english-2017-2020-appendix-2,provisional_orthographic_match,e-mail
912,embarrassed**,embarrassed,embarrassed,,**,high_school_selective_compulsory,word,E,146,138,moe-hs-english-2017-2020-appendix-2,not_covered,
913,emerge**,emerge,emerge,,**,high_school_selective_compulsory,word,E,146,138,moe-hs-english-2017-2020-appendix-2,not_covered,
915,emotion**,emotion,emotion,,**,high_school_selective_compulsory,word,E,146,138,moe-hs-english-2017-2020-appendix-2,not_covered,
917,emphasis**,emphasis,emphasis,,**,high_school_selective_compulsory,word,E,146,138,moe-hs-english-2017-2020-appendix-2,not_covered,
920,enable*,enable,enable,,*,high_school_compulsory,word,E,146,138,moe-hs-english-2017-2020-appendix-2,not_covered,
921,encounter**,encounter,encounter,,**,high_school_selective_compulsory,word,E,146,138,moe-hs-english-2017-2020-appendix-2,not_covered,
927,engage**,engage,engage,,**,high_school_selective_compulsory,word,E,146,138,moe-hs-english-2017-2020-appendix-2,not_covered,
932,enhance**,enhance,enhance,,**,high_school_selective_compulsory,word,E,146,138,moe-hs-english-2017-2020-appendix-2,not_covered,
934,enormous**,enormous,enormous,,**,high_school_selective_compulsory,word,E,146,138,moe-hs-english-2017-2020-appendix-2,not_covered,
936,ensure*,ensure,ensure,,*,high_school_compulsory,word,E,146,138,moe-hs-english-2017-2020-appendix-2,not_covered,
941,entirely*,entirely,entirely,,*,high_school_compulsory,word,E,146,138,moe-hs-english-2017-2020-appendix-2,not_covered,
942,entitle**,entitle,entitle,,**,high_school_selective_compulsory,word,E,146,138,moe-hs-english-2017-2020-appendix-2,not_covered,
948,episode**,episode,episode,,**,high_school_selective_compulsory,word,E,146,138,moe-hs-english-2017-2020-appendix-2,not_covered,
950,equator**,equator,equator,,**,high_school_selective_compulsory,word,E,146,138,moe-hs-english-2017-2020-appendix-2,not_covered,
952,era**,era,era,,**,high_school_selective_compulsory,word,E,146,138,moe-hs-english-2017-2020-appendix-2,not_covered,
959,essential**,essential,essential,,**,high_school_selective_compulsory,word,E,146,138,moe-hs-english-2017-2020-appendix-2,not_covered,
960,establish*,establish,establish,,*,high_school_compulsory,word,E,146,138,moe-hs-english-2017-2020-appendix-2,not_covered,
961,estate**,estate,estate,,**,high_school_selective_compulsory,word,E,147,139,moe-hs-english-2017-2020-appendix-2,not_covered,
962,estimate**,estimate,estimate,,**,high_school_selective_compulsory,word,E,147,139,moe-hs-english-2017-2020-appendix-2,not_covered,
966,eve*,eve,eve,,*,high_school_compulsory,word,E,147,139,moe-hs-english-2017-2020-appendix-2,not_covered,
985,exceptional**,exceptional,exceptional,,**,high_school_selective_compulsory,word,E,147,139,moe-hs-english-2017-2020-appendix-2,not_covered,
987,excited,excited,excited,,,compulsory_education,word,E,147,139,moe-hs-english-2017-2020-appendix-2,not_covered,
988,exciting,exciting,exciting,,,compulsory_education,word,E,147,139,moe-hs-english-2017-2020-appendix-2,not_covered,
995,expansion**,expansion,expansion,,**,high_school_selective_compulsory,word,E,147,139,moe-hs-english-2017-2020-appendix-2,not_covered,
1008,exposure**,exposure,exposure,,**,high_school_selective_compulsory,word,E,147,139,moe-hs-english-2017-2020-appendix-2,not_covered,
1010,extend**,extend,extend,,**,high_school_selective_compulsory,word,E,147,139,moe-hs-english-2017-2020-appendix-2,not_covered,
1012,extent*,extent,extent,,*,high_school_compulsory,word,E,147,139,moe-hs-english-2017-2020-appendix-2,not_covered,
1013,external*,external,external,,*,high_school_compulsory,word,E,147,139,moe-hs-english-2017-2020-appendix-2,not_covered,
1014,extinction*,extinction,extinction,,*,high_school_compulsory,word,E,147,139,moe-hs-english-2017-2020-appendix-2,not_covered,
1019,fabric**,fabric,fabric,,**,high_school_selective_compulsory,word,F,148,140,moe-hs-english-2017-2020-appendix-2,not_covered,
1021,facilitate**,facilitate,facilitate,,**,high_school_selective_compulsory,word,F,148,140,moe-hs-english-2017-2020-appendix-2,not_covered,
1022,facility*,facility,facility,,*,high_school_compulsory,word,F,148,140,moe-hs-english-2017-2020-appendix-2,not_covered,
1024,factor*,factor,factor,,*,high_school_compulsory,word,F,148,140,moe-hs-english-2017-2020-appendix-2,not_covered,
1042,fashion**,fashion,fashion,,**,high_school_selective_compulsory,word,F,148,140,moe-hs-english-2017-2020-appendix-2,not_covered,
1050,feature*,feature,feature,,*,high_school_compulsory,word,F,148,140,moe-hs-english-2017-2020-appendix-2,not_covered,
1074,finally,finally,finally,,,compulsory_education,word,F,149,141,moe-hs-english-2017-2020-appendix-2,not_covered,
1076,financial**,financial,financial,,**,high_school_selective_compulsory,word,F,149,141,moe-hs-english-2017-2020-appendix-2,not_covered,
1078,finding**,finding,finding,,**,high_school_selective_compulsory,word,F,149,141,moe-hs-english-2017-2020-appendix-2,not_covered,
1094,flavour (flavor)**,flavour (flavor),flavour,flavor,**,high_school_selective_compulsory,word,F,149,141,moe-hs-english-2017-2020-appendix-2,not_covered,
1125,formal*,formal,formal,,*,high_school_compulsory,word,F,149,141,moe-hs-english-2017-2020-appendix-2,not_covered,
1128,fortunately*,fortunately,fortunately,,*,high_school_compulsory,word,F,150,142,moe-hs-english-2017-2020-appendix-2,not_covered,
1132,foundation**,foundation,foundation,,**,high_school_selective_compulsory,word,F,150,142,moe-hs-english-2017-2020-appendix-2,not_covered,
1139,frank*,frank,frank,,*,high_school_compulsory,word,F,150,142,moe-hs-english-2017-2020-appendix-2,not_covered,
1144,frequency**,frequency,frequency,,**,high_school_selective_compulsory,word,F,150,142,moe-hs-english-2017-2020-appendix-2,not_covered,
1145,frequently*,frequently,frequently,,*,high_school_compulsory,word,F,150,142,moe-hs-english-2017-2020-appendix-2,not_covered,
1153,frightened*,frightened,frightened,,*,high_school_compulsory,word,F,150,142,moe-hs-english-2017-2020-appendix-2,not_covered,
1165,fund*,fund,fund,,*,high_school_compulsory,word,F,150,142,moe-hs-english-2017-2020-appendix-2,not_covered,
1169,further*,further,further,,*,high_school_compulsory,word,F,150,142,moe-hs-english-2017-2020-appendix-2,not_covered,
1174,gap*,gap,gap,,*,high_school_compulsory,word,G,150,142,moe-hs-english-2017-2020-appendix-2,not_covered,
1181,gender**,gender,gender,,**,high_school_selective_compulsory,word,G,151,143,moe-hs-english-2017-2020-appendix-2,not_covered,
1183,generate**,generate,generate,,**,high_school_selective_compulsory,word,G,151,143,moe-hs-english-2017-2020-appendix-2,not_covered,
1186,genius**,genius,genius,,**,high_school_selective_compulsory,word,G,151,143,moe-hs-english-2017-2020-appendix-2,not_covered,
1189,genuine**,genuine,genuine,,**,high_school_selective_compulsory,word,G,151,143,moe-hs-english-2017-2020-appendix-2,not_covered,
1202,global*,global,global,,*,high_school_compulsory,word,G,151,143,moe-hs-english-2017-2020-appendix-2,not_covered,
1215,grab**,grab,grab,,**,high_school_selective_compulsory,word,G,151,143,moe-hs-english-2017-2020-appendix-2,not_covered,
1226,grandparent,grandparent,grandparent,,,compulsory_education,word,G,151,143,moe-hs-english-2017-2020-appendix-2,not_covered,
1236,greenhouse*,greenhouse,greenhouse,,*,high_school_compulsory,word,G,151,143,moe-hs-english-2017-2020-appendix-2,not_covered,
