record_id,word,official_variants,source_entry,source_sequence,source_component_index,source_component_count,curriculum_level,marker,alphabetic_section,source_print_page,source_id,part_of_speech,definitions_zh,phonetic_uk,phonetic_us,enrichment_status
curriculum-0058,advertise,,advertise,58,1,1,high_school_selective_compulsory,**,A,122,moe-hs-english-2017-2020-appendix-2,,,,,pending_definition_and_phonetics
curriculum-0059,advertisement,ad,advertisement (ad),59,1,1,high_school_selective_compulsory,**,A,122,moe-hs-english-2017-2020-appendix-2,,,,,pending_definition_and_phonetics
curriculum-0060,advice,,advice,60,1,1,compulsory_education,,A,122,moe-hs-english-2017-2020-appendix-2,,,,,pending_definition_and_phonetics
curriculum-0061,advise,,advise,61,1,1,compulsory_education,,A,122,moe-hs-english-2017-2020-appendix-2,,,,,pending_definition_and_phonetics
curriculum-0062,advocate,,advocate,62,1,1,high_school_selective_compulsory,**,A,122,moe-hs-english-2017-2020-appendix-2,,,,,pending_definition_and_phonetics
curriculum-0063,affair,,affair,63,1,1,high_school_compulsory,*,A,122,moe-hs-english-2017-2020-appendix-2,,,,,pending_definition_and_phonetics
curriculum-0064,affect,,affect,64,1,1,high_school_selective_compulsory,**,A,122,moe-hs-english-2017-2020-appendix-2,,,,,pending_definition_and_phonetics
curriculum-0065,afford,,afford,65,1,1,compulsory_education,,A,122,moe-hs-english-2017-2020-appendix-2,,,,,pending_definition_and_phonetics
curriculum-0066,afraid,,afraid,66,1,1,compulsory_education,,A,122,moe-hs-english-2017-2020-appendix-2,,,,,pending_definition_and_phonetics
curriculum-0067,Africa,,Africa,67,1,1,compulsory_education,,A,122,moe-hs-english-2017-2020-appendix-2,,,,,pending_definition_and_phonetics
curriculum-0068,African,,African,68,1,1,compulsory_education,,A,122,moe-hs-english-2017-2020-appendix-2,,,,,pending_definition_and_phonetics
