phrase,normalized_phrase,word_count,minimum_lexical_level,oewn_match,oewn_pos,oewn_sense_ids,moby_match,tatoeba_cc0_sentence_count,candidate_status,priority_score,human_review_claimed
go out,go out,2,junior,true,v,go_out%2:30:00::|go_out%2:38:00::|go_out%2:38:01::|go_out%2:38:02::|go_out%2:41:00::|go_out%2:42:00::,true,11,evidence_ready_review,49.85,false
in law,in law,2,junior,true,n,in-law%1:18:00::,true,23,evidence_ready_review,49.85,false
national park,national park,2,senior_high,true,n,national_park%1:15:00::,true,23,evidence_ready_review,49.85,false
young man,young man,2,junior,true,n,young_man%1:18:00::,true,23,evidence_ready_review,49.85,false
all the time,all the time,3,junior,true,r,all_the_time%4:02:01::,false,21,evidence_ready_review,49.594,false
at first,at first,2,cet4,true,r,at_first%4:02:01::,false,21,evidence_ready_review,49.594,false
with it,with it,2,junior,true,a,with-it%5:00:00:fashionable:00|with-it%5:00:00:smart:00,false,30,evidence_ready_review,49.542,false
do in,do in,2,junior,true,v,do_in%2:35:00::,true,10,evidence_ready_review,48.594,false
get off,get off,2,junior,true,v,get_off%2:32:00::|get_off%2:32:01::|get_off%2:32:04::|get_off%2:32:05::|get_off%2:34:00::|get_off%2:35:00::|get_off%2:38:00::|get_off%2:38:01::|get_off%2:38:02::|get_off%2:39:00::|get_off%2:41:00::,true,10,evidence_ready_review,48.594,false
go through,go through,2,junior,true,v,go_through%2:34:00::|go_through%2:34:01::|go_through%2:39:00::,true,10,evidence_ready_review,48.594,false
have not,have not,2,junior,true,n,have-not%1:18:00::,true,21,evidence_ready_review,48.594,false
long term,long term,2,junior,true,a,long-term%5:00:00:long:02,true,21,evidence_ready_review,48.594,false
be on,be on,2,junior,true,v,be_on%2:30:00::,false,13,evidence_ready_review,48.074,false
feel like,feel like,2,junior,true,v,feel_like%2:37:00::,false,13,evidence_ready_review,48.074,false
look for,look for,2,junior,true,v,look_for%2:35:00::|look_for%2:37:00::,false,13,evidence_ready_review,48.074,false
travel to,travel to,2,junior,true,v,travel_to%2:38:00::,false,13,evidence_ready_review,48.074,false
so long,so long,2,junior,true,n,so_long%1:10:00::,true,20,evidence_ready_review,47.923,false
no more,no more,2,junior,true,r,no_more%4:02:01::|no_more%4:02:05::,false,18,evidence_ready_review,47.479,false
carbon dioxide,carbon dioxide,2,cet4,true,n,carbon_dioxide%1:27:00::,true,19,evidence_ready_review,47.219,false
carry out,carry out,2,junior,true,v,carry_out%2:30:00::|carry_out%2:36:00::,true,9,evidence_ready_review,47.219,false
come in,come in,2,junior,true,v,come_in%2:31:00::|come_in%2:32:00::|come_in%2:38:01::|come_in%2:38:02::|come_in%2:42:00::,true,9,evidence_ready_review,47.219,false
go ahead,go ahead,2,junior,true,n|v,go-ahead%1:07:00::|go-ahead%1:10:00::|go_ahead%2:32:00::,true,9,evidence_ready_review,47.219,false
go for,go for,2,junior,true,v,go_for%2:31:00::|go_for%2:32:00::|go_for%2:33:00::|go_for%2:37:00::|go_for%2:42:00::,true,9,evidence_ready_review,47.219,false
hold on,hold on,2,junior,true,v,hold_on%2:30:00::|hold_on%2:30:05::|hold_on%2:32:00::|hold_on%2:35:00::|hold_on%2:40:00::,true,9,evidence_ready_review,47.219,false
turn on,turn on,2,junior,true,n|v,turn-on%1:09:00::|turn_on%2:30:00::|turn_on%2:34:00::|turn_on%2:35:00::|turn_on%2:37:00::|turn_on%2:37:02::|turn_on%2:39:00::|turn_on%2:42:00::,true,9,evidence_ready_review,47.219,false
home in,home in,2,junior,true,v,home_in%2:33:12::,false,12,evidence_ready_review,47.004,false
let go,let go,2,junior,true,v,let_go%2:35:00::|let_go%2:42:00::,false,12,evidence_ready_review,47.004,false
put together,put together,2,junior,true,v,put_together%2:36:00::,false,12,evidence_ready_review,47.004,false
rid of,rid of,2,cet4,true,v,rid_of%2:42:00::,false,12,evidence_ready_review,47.004,false
space agency,space agency,2,senior_high,true,n,space_agency%1:14:01::,false,25,evidence_ready_review,47.004,false
up on,up on,2,junior,true,a,up_on%5:00:00:informed:00,false,25,evidence_ready_review,47.004,false
if not,if not,2,junior,true,r,if_not%4:02:00::,false,17,evidence_ready_review,46.699,false
in the end,in the end,3,junior,true,r,in_the_end%4:02:00::|in_the_end%4:02:02::,false,17,evidence_ready_review,46.699,false
more and more,more and more,3,junior,true,r,more_and_more%4:02:00::,false,17,evidence_ready_review,46.699,false
full time,full time,2,junior,true,a|r,full-time%3:00:00::|full-time%4:02:00::,true,12,evidence_ready_review,46.004,false
for one,for one,2,cet4,true,r,for_one%4:02:00::,false,16,evidence_ready_review,45.875,false
in part,in part,2,junior,true,r,in_part%4:02:00::,false,16,evidence_ready_review,45.875,false
in place,in place,2,junior,true,r,in_place%4:02:00::,false,16,evidence_ready_review,45.875,false
be given,be given,2,cet4,true,v,be_given%2:42:00::,false,11,evidence_ready_review,45.85,false
rely on,rely on,2,senior_high,true,v,rely_on%2:42:00::|rely_on%2:42:02::,false,11,evidence_ready_review,45.85,false
take place,take place,2,junior,true,v,take_place%2:30:00::,false,11,evidence_ready_review,45.85,false
clean up,clean up,2,junior,true,v,clean_up%2:29:00::|clean_up%2:30:03::|clean_up%2:40:00::|clean_up%2:40:04::,true,8,evidence_ready_review,45.699,false
get along,get along,2,junior,true,v,get_along%2:30:00::|get_along%2:41:00::|get_along%2:42:00::,true,8,evidence_ready_review,45.699,false
get away,get away,2,junior,true,v,get_away%2:32:00::|get_away%2:38:00::|get_away%2:41:00::,true,8,evidence_ready_review,45.699,false
get up,get up,2,junior,true,v,get_up%2:29:00::|get_up%2:29:01::|get_up%2:29:02::|get_up%2:29:03::|get_up%2:31:00::|get_up%2:36:00::|get_up%2:38:00::|get_up%2:38:01::,true,8,evidence_ready_review,45.699,false
lie in,lie in,2,junior,true,n|v,lie-in%1:04:00::|lie_in%2:29:00::|lie_in%2:42:00::,true,8,evidence_ready_review,45.699,false
old man,old man,2,junior,true,n,old_man%1:18:01::|old_man%1:18:02::|old_man%1:18:03::|old_man%1:18:04::|old_man%1:20:00::,true,17,evidence_ready_review,45.699,false
point out,point out,2,junior,true,v,point_out%2:32:01::|point_out%2:32:02::|point_out%2:32:03::,true,8,evidence_ready_review,45.699,false
show up,show up,2,junior,true,v,show_up%2:30:00::|show_up%2:39:00::,true,8,evidence_ready_review,45.699,false
stand up,stand up,2,junior,true,a|v,stand-up%5:00:00:erect:00|stand_up%2:32:00::|stand_up%2:33:00::|stand_up%2:35:00::|stand_up%2:35:03::|stand_up%2:38:00::|stand_up%2:38:06::|stand_up%2:42:00::,true,8,evidence_ready_review,45.699,false
take off,take off,2,junior,true,v,take_off%2:29:03::|take_off%2:30:00::|take_off%2:31:00::|take_off%2:35:00::|take_off%2:36:00::|take_off%2:38:00::|take_off%2:38:01::|take_off%2:38:02::|take_off%2:41:00::,true,8,evidence_ready_review,45.699,false
take on,take on,2,junior,true,v,take_on%2:30:00::|take_on%2:33:01::|take_on%2:40:00::|take_on%2:41:00::|take_on%2:41:01::,true,8,evidence_ready_review,45.699,false
thank you,thank you,2,junior,true,n,thank_you%1:10:00::,true,17,evidence_ready_review,45.699,false
turn to,turn to,2,junior,true,v,turn_to%2:32:01::,true,8,evidence_ready_review,45.699,false
walk through,walk through,2,junior,true,n|v,walk-through%1:04:00::|walk-through%1:04:01::|walk-through%1:06:00::|walk-through%1:10:00::|walk_through%2:36:00::,true,8,evidence_ready_review,45.699,false
supreme court,supreme court,2,cet4,true,n,supreme_court%1:14:01::,false,22,evidence_ready_review,45.236,false
across the country,across the country,3,junior,true,r,across_the_country%4:02:00::,false,15,evidence_ready_review,45.0,false
in general,in general,2,junior,true,r,in_general%4:02:00::,false,15,evidence_ready_review,45.0,false
in the air,in the air,3,junior,true,r,in_the_air%4:02:00::,false,15,evidence_ready_review,45.0,false
or so,or so,2,junior,true,r,or_so%4:02:00::,false,15,evidence_ready_review,45.0,false
all in,all in,2,junior,true,a,all_in%5:00:00:tired:00,true,16,evidence_ready_review,44.875,false
left wing,left wing,2,junior,true,a|n,left-wing%5:00:00:left:02|left_wing%1:14:00::,true,16,evidence_ready_review,44.875,false
one time,one time,2,cet4,true,a|r,one-time%5:00:00:past:00|one_time%4:02:00::,true,11,evidence_ready_review,44.85,false
for a while,for a while,3,junior,true,r,for_a_while%4:02:01::,false,14,evidence_ready_review,44.069,false
quite a,quite a,2,junior,true,r,quite_a%4:02:00::,false,14,evidence_ready_review,44.069,false
account for,account for,2,junior,true,v,account_for%2:32:00::|account_for%2:42:00::,true,7,evidence_ready_review,44.0,false
go down,go down,2,junior,true,v,go_down%2:30:00::|go_down%2:30:14::|go_down%2:33:00::|go_down%2:34:00::|go_down%2:38:00::|go_down%2:38:01::|go_down%2:38:02::|go_down%2:42:00::,true,7,evidence_ready_review,44.0,false
go in,go in,2,junior,true,v,go_in%2:38:00::,true,7,evidence_ready_review,44.0,false
go into,go into,2,junior,true,v,go_into%2:38:00::|go_into%2:42:00::,true,7,evidence_ready_review,44.0,false
go up,go up,2,junior,true,v,go_up%2:30:00::|go_up%2:30:04::|go_up%2:38:00::|go_up%2:38:01::|go_up%2:38:02::|go_up%2:38:03::|go_up%2:38:10::,true,7,evidence_ready_review,44.0,false
hand in,hand in,2,junior,false,,,true,15,moby_corpus_review,44.0,false
keep up,keep up,2,junior,true,v,keep_up%2:29:00::|keep_up%2:30:00::|keep_up%2:33:00::|keep_up%2:40:00::|keep_up%2:42:00::,true,7,evidence_ready_review,44.0,false
lay down,lay down,2,junior,true,v,lay_down%2:31:00::,true,7,evidence_ready_review,44.0,false
make out,make out,2,junior,true,v,make_out%2:31:00::|make_out%2:32:00::|make_out%2:32:02::|make_out%2:32:03::|make_out%2:32:06::|make_out%2:35:00::|make_out%2:35:01::|make_out%2:39:00::|make_out%2:41:02::|make_out%2:42:00::,true,7,evidence_ready_review,44.0,false
speak to,speak to,2,junior,false,,,true,15,moby_corpus_review,44.0,false
vice president,vice president,2,cet6,true,n,vice_president%1:18:00::,true,15,evidence_ready_review,44.0,false
health care,health care,2,junior,true,n,health_care%1:04:00::|health_care%1:04:01::,false,20,evidence_ready_review,43.923,false
come down,come down,2,junior,true,v,come_down%2:29:00::|come_down%2:30:00::|come_down%2:32:12::|come_down%2:38:00::|come_down%2:43:00::,false,9,evidence_ready_review,43.219,false
depend on,depend on,2,junior,true,v,depend_on%2:42:00::|depend_on%2:42:01::|depend_on%2:42:02::,false,9,evidence_ready_review,43.219,false
disagree with,disagree with,2,cet4,true,v,disagree_with%2:29:00::,false,9,evidence_ready_review,43.219,false
feed on,feed on,2,junior,true,v,feed_on%2:34:00::,false,9,evidence_ready_review,43.219,false
move through,move through,2,junior,true,v,move_through%2:38:00::,false,9,evidence_ready_review,43.219,false
pass through,pass through,2,junior,true,n|v,pass-through%1:06:00::|pass_through%2:38:00::|pass_through%2:38:01::|pass_through%2:38:02::,false,9,evidence_ready_review,43.219,false
a great deal,a great deal,3,junior,true,r,a_great_deal%4:02:00::|a_great_deal%4:02:03::,false,13,evidence_ready_review,43.074,false
above all,above all,2,junior,true,r,above_all%4:02:00::|above_all%4:02:01::,false,13,evidence_ready_review,43.074,false
